kanji	index	reading	sentence
何	12	なに	机 の 配置 から 備品 の レンタル 迄 、 何 から 何 まで 無料 で わがまま を 聞い て くれる 会議 室 で 感激 し まし た 。
何	8	なに	「 彼 は 穴 さえ あれ ば 何 と で も 性交 する だろう 。
何	3	なん	今 は 何 で も 言える 。
何	40	なん	メンバー の デニー ・ ダイアス に よる と 、 この 機能 不良 は 特に 5 曲 目 の 「 ドクター ・ ウー 」 の 冒頭 部 で 顕著 で あり 、 注意 深く 聞く と 、 サクソフォーン が まるで 何 の 感慨 も ない よう に 聞こえる と いう 。
何	12	いず	弊社 と イベント 主催 側 と の 間 に は , 何 ら 契約 関係 に 無い こと を 申し上げ ます 。
何	14	なに	英語 を 話せる 機会 も いい けど 、 私 に とっ て は 何 より 友だち が でき て 楽しい です 。
何	8	なに	しかし 99 年 に なっ て も 何 も おこら ず , 獄中 から 被害 者 へ の 賠償 を 提案 し て い た と いう 上祐 氏 が 出所 し た こと で , 教団 は 被害 者 へ の 謝罪 と 賠償 を 行い まし た 。
何	40	なに	私 の 13 年間 , 守谷 香 は 仮 に も 一時 的 に 夫婦 で あっ た 夫 で ある 私 を 働か せ 続け , すべて の お 金 を 奪い取り , 信じる 心 も 奪い取り , 何 も か も 嘘 で 固め た 人生 を 送らさ れ て き まし た 。
何	7	なに	事故 の 前 に 異常 は 何 も 感じ なかっ た よ 。
何	14	なん	そして 、 敵 の 谷 の 魔女 に 邪魔 さ れる が 、 何 と か 切り抜け 、 千 年 トマト を よみがえら せ た 。
何	5	なに	すごく おいしい し 、 何 より 安い !
何	19	なに	質問 し た 事 は 全て 答え て くれ ます が 、 こちら が 質問 し ない と 何 も 教え て くれ ませ ん 。
何	11	なに	テレビ 等 で も 放映 さ れ た よう に 何 を 食べ て も 美味しい です 。
何	11	なん	写真 の 中 で 目 を 引く の は , 何 と いっ て も 天蓋 付き ベッド 。
何	37	いず	とんかつ は 、 珍しい 焼き トンカツ も あり ます が 、 衣 が 全て スグ に とれ ちゃい ます し 、 見 た 目 も なん だ か 普通 の 主婦 が 作っ た の と 何 ら 変わり ない 。
何	38	なん	ナチス ・ ドイツ の ポーランド 侵攻 時 に は 、 ポーランド に 約 2 , 700 , 0 人 い た ドイツ 系 住民 の うち 25 % が ドイツ に 直接 指揮 監督 さ れ た 何 ら か の ドイツ 人 少数 民族 組織 に 所属 し て 多く が 第 五 列 活動 に 関わっ て おり その うち 82 , 0 人 が 悪名 高い 自衛 団 の 構成 員 だっ た と 推定 さ れ て いる 。
何	1	なに	何 を やっ て も よい , 売春 反対 に 向かい さえ すれ ば 。
何	6	なん	現在 は モエール ちゃん が 何 ら か の 任務 に 出 て しまい 休業 中 。
何	6	なに	記者 の 方 を 指さし 何 やら 言っ て い た の で 手 を 振る と , 中 の 一人 が 記者 に 向け て “ 馬鹿 ! ”
何	1	なに	何 か あっ た とき の ため に と , 携帯 電話 に ひかえ て あっ た 住所 に 送ら せ て もらい ます 。
何	42	なん	コダール の 完成 型 で ある コダール i も 『 揺れる イントゥ ・ ザ ・ ブルー 』 で ビル の 倒壊 に 対し て ラムダ ・ ドライバ を 発動 さ せ オーバーヒート を 起こし て いる が 、 検査 の 結果 何 の 異常 も 見 られ なかっ た ため 、 こちら は ガウルン に よる ブラフ と 見 られる 。
何	3	なに	今 , 何 も それ は 達成 さ れ て い ない 。
何	12	なん	いったい , “ 次 世紀 ファーム 研究 所 ” と は 何 な の か 。
何	9	なに	いつ も どおり な の で , たぶん 何 も 問題 あり ませ ん 。
何	22	なに	鋭い 眼光 で こちら を 睨み付ける ニノ 、 ヴィジュアル 系 の よう に 自分 を 抱きしめる ニノ 、 壁 に へばり付き 何 か に 怯える ニノ . . . . . . 。
何	18	なに	コンピュータ に おけ る データ ログ で は 、 障害 など が 発生 し た とき 、 何 が 起き た の か を 説明 できる よう に する ため に プログラム が 自動 的 に ある 範囲 の イベント を 記録 する 。
何	21	なに	男 は 女 の 為 に 闘い 抜い た とき 女 は 心 を 寄せる の で あっ て , 何 も し ない で 足 の 長 さ で 女 を 釣ろう と する の は ルンペン の やる こと で ある 。
