kanji	index	reading	sentence
初	27	はつ	これ に よっ て 池田 会長 が 2010 年 に 獲得 し た 学術 称号 の 数 は 年間 最多 と なり , 国内 で は 初 の 学術 称号 と なり ます 。
初	34	はつ	2006 年 は 、 シングス ランク が 7 月 に 2 週間 「 99 位 」 を 記録 し 初めて トップ 100 に 入る と 、 全米 オープン で グランド スラム 大会 シングルス 初 出場 。
初	26	はつ	その タイム ライン を 脅かそう と し て い た の が スマノダイドウ で あり 、 両馬 は 1974 年 1 月 30 日 に 初 対決 を 迎える 。
初	34	はつ	これ まで も 雫 や 痕 など 凌辱 シーン の ある 作品 を 手がけ て き た Leaf だっ た が 、 凌辱 を メイン に 扱っ た の は この 作品 が 初 と なり ファン の 評価 は まっ ぷた つ に 分かれ た と 言う 。
初	12	はつ	1981 年 に は 、 ブルース ・ アンリミテッド ・ レーベル から 初 の ソロ ・ アルバム Blues Attack を リリース し た 。
初	11	はつ	そして お 父 さん 役 に 牟田 悌三 が シリーズ 初 出演 、 更に 従業 員 役 の 進士 晴久 や 岸 ユキ 、 ケン ちゃん の 先生 役 の 工藤 堅太郎 、 柔道 の コーチ 役 の 石田 信之 など 、 サブ キャラクター が 充実 し て き た 。
初	6	はつ	同党 と し て は 初 の 現職 国会 議員 と なる 。
初	9	はつ	8 月 7 日 の 巨人 戦 で 初 登板 、 8 月 16 日 の 広島 戦 で プロ 初 勝利 。
初	21	はつ	8 月 7 日 の 巨人 戦 で 初 登板 、 8 月 16 日 の 広島 戦 で プロ 初 勝利 。
初	4	はつ	その 後 も 初 の 時代 劇 『 お吟 さま 』 、 戦後 日本 映画 で 初 の 中国 ロケ を 敢行 し た 井上 靖 原作 『 天平 の 甍 』 など を 経 て 、 1986 年 に は 戦時 中 に 九州 で 起き た 米軍 捕虜 生体 解剖 事件 を もと に 医師 の 戦争 責任 を 問う た 遠藤 周作 原作 の 『 海 と 毒薬 』 を 発表 し 、 再び ベルリン 国際 映画 祭 銀熊 賞 ・ 審査 員 特別 賞 、 毎日 映画 コンクール 大賞 、 3 度 目 の キネマ 旬報 ベスト ワン 及び 監督 賞 を 受ける など 国内外 で 評価 さ れ た 。
初	17	はつ	その 後 も 初 の 時代 劇 『 お吟 さま 』 、 戦後 日本 映画 で 初 の 中国 ロケ を 敢行 し た 井上 靖 原作 『 天平 の 甍 』 など を 経 て 、 1986 年 に は 戦時 中 に 九州 で 起き た 米軍 捕虜 生体 解剖 事件 を もと に 医師 の 戦争 責任 を 問う た 遠藤 周作 原作 の 『 海 と 毒薬 』 を 発表 し 、 再び ベルリン 国際 映画 祭 銀熊 賞 ・ 審査 員 特別 賞 、 毎日 映画 コンクール 大賞 、 3 度 目 の キネマ 旬報 ベスト ワン 及び 監督 賞 を 受ける など 国内外 で 評価 さ れ た 。
初	48	ショ	女性 ヘッド コーチ の 就任 を 含め 、 この シーズン は さいたま スーパー アリーナ で オール スター 開催 など 話題 こそ 集め た もの の 、 レギュラー シーズン で は 勝ち きれ ない 試合 が 多く 、 高松 戦 以外 で 同一 カード 連勝 は なく 、 初 年度 以来 の 最 下位 と いう 結果 に 終わっ た 。
初	2	はつ	グレプロ 初 の 新宿 FACE 大会 。
初	6	はつ	監督 は 、 本作 が 初 監督 作品 と なる デイヴィッド ・ アトキンス 。
初	2	ショ	開催 初 年度 は ル・マン 24 時間 を 含む 全 8 戦 が 開催 さ れ 、 アウディ が ハイブリッド 車 で 初代 王者 に 就い た 。
初	3	はつ	今回 が 初 の ツアー 競技 挑戦 だ 。
